distance,algorithm,runtime_seconds,peak_memory_bytes,total_path_cost,max_adjacent_jump,mean_adjacent_cost,std_adjacent_cost,coverage,num_subsequences,min_subsequence_length,max_subsequence_length,duplicate_visits
pose,naive,0.00000000,0,0.22558490,0.14593617,0.02050772,0.03978211,1.00000000,1,12,12,0
pose,greedy,0.00014378,1354,0.22558490,0.14593617,0.02050772,0.03978211,1.00000000,1,12,12,0
pose,adaptive,0.00013250,1560,0.22558490,0.14593617,0.02050772,0.03978211,1.00000000,1,12,12,0
pose,held_karp,0.83662048,6295056,0.22558490,0.14593617,0.02050772,0.03978211,1.00000000,1,12,12,0
pose,greedy_2opt,0.00053485,1346,0.22558490,0.14593617,0.02050772,0.03978211,1.00000000,1,12,12,0
pose,greedy_windowed_dp,0.02901077,108968,0.22558490,0.14593617,0.02050772,0.03978211,1.00000000,1,12,12,0
feature,naive,0.00000000,0,4.58255779,1.00000000,0.41659616,0.30900322,1.00000000,1,12,12,0
feature,greedy,0.00012177,1354,3.22179975,1.00000000,0.29289089,0.26283009,1.00000000,1,12,12,0
feature,adaptive,0.00012975,1560,0.56907478,0.18884664,0.11381496,0.06691919,1.00000000,7,1,5,0
feature,held_karp,0.87520559,6185888,2.89670469,1.00000000,0.26333679,0.25434170,1.00000000,1,12,12,0
feature,greedy_2opt,0.00050151,1274,3.22179975,1.00000000,0.29289089,0.26283009,1.00000000,1,12,12,0
feature,greedy_windowed_dp,0.02909117,108864,3.22179975,1.00000000,0.29289089,0.26283009,1.00000000,1,12,12,0
hybrid,naive,0.00000000,0,1.48262055,0.34373447,0.13478369,0.11782866,1.00000000,1,12,12,0
hybrid,greedy,0.00012263,1354,1.48262055,0.34373447,0.13478369,0.11782866,1.00000000,1,12,12,0
hybrid,adaptive,0.00012545,1528,0.58750079,0.17728608,0.07343760,0.06182447,1.00000000,4,1,8,0
hybrid,held_karp,0.86398364,6178208,1.34003600,0.34150890,0.12182145,0.10073158,1.00000000,1,12,12,0
hybrid,greedy_2opt,0.00050379,1346,1.48262055,0.34373447,0.13478369,0.11782866,1.00000000,1,12,12,0
hybrid,greedy_windowed_dp,0.02938686,109200,1.48262055,0.34373447,0.13478369,0.11782866,1.00000000,1,12,12,0
